x,y,z,Ni,Nj,Nk
17.858517163,-9.00407489635,100.192567568,-0.89292585815,0.450203744818,0.0
18.8575489092,-6.66279589484,100.194594595,-0.942877445461,0.333139794742,0.0
19.551104779,-4.21358539991,100.196621622,-0.977555238948,0.210679269996,0.0
19.9279497709,-1.69611848951,100.198648649,-0.996397488543,0.0848059244755,0.0
19.9819793241,0.848824063923,100.200675676,-0.999098966205,-0.0424412031961,0.0
19.712318207,3.38001640644,100.202702703,-0.985615910348,-0.169000820322,0.0
19.1233346948,5.85645542553,100.20472973,-0.956166734739,-0.292822771277,0.0
18.2245698078,8.23802496488,100.206756757,-0.911228490388,-0.411901248244,0.0
17.0305827547,10.4861456711,100.208783784,-0.851529137733,-0.524307283557,0.0
15.5607150864,12.5643999459,100.210810811,-0.778035754318,-0.628219997296,0.0
13.8387773796,14.4391218791,100.212837838,-0.691938868978,-0.721956093955,0.0
11.8926635261,16.0799426073,100.214864865,-0.594633176304,-0.803997130367,0.0
9.75389887627,17.4602822632,100.216891892,-0.487694943814,-0.873014113161,0.0
7.45712955561,18.5577805459,100.218918919,-0.37285647778,-0.927889027297,0.0
5.0395612277,19.3546589387,100.220945946,-0.251978061385,-0.967732946933,0.0
2.54035639494,19.8380087052,100.222972973,-0.127017819747,-0.991900435259,0.0
4.65489579803e-14,20.0,100.225,-2.32744789902e-15,-1.0,0.0
